ligand,sample,n_pocket_residues_touched,donor_to_centroid,rg_about_donor,centroid_fe_dist,azimuth_about_axis,distal_half_contacts,distal_half_buried_frac,contact_consensus
QE4,pred.model_idx_2,14,5.785890101797417,7.240554011278688,7.782358571064038,71.11067087904776,149,0.65,0.7799191606467148
QE4,pred.model_idx_3,16,5.650463085948205,7.153781427141667,7.603870072907829,13.91894569326205,102,0.45,0.8004385964912281
QE4,pred.model_idx_4,13,6.049661133572106,7.4868611938906255,7.986418553948811,53.53889291958411,131,0.55,0.7697089947089947
QE4,pred.model_idx_5,14,5.727326382525189,7.134626005888636,7.711400374502124,31.5880945166076,126,0.55,0.8294338105612616
QE4,pred.model_idx_6,14,5.653470867221297,7.125400331072548,7.79933903501478,58.164070102841116,110,0.4,0.8294338105612616
QE4,pred.model_idx_7,14,6.1873583261291,7.75434021190399,8.181039640076587,96.57208923406924,95,0.45,0.5360623781676414
QE4,pred.model_idx_8,15,5.885888905729442,7.306036825636795,7.877193428382339,57.22033530099175,97,0.4,0.8354130833619997
QE4,pred.model_idx_9,15,6.268168439548798,7.796811967314496,8.192204827030329,91.70343818857813,130,0.55,0.7684912854030501
QEA,pred.model_idx_0,13,6.045453368958362,7.369768222271309,7.955133096702405,27.32960627944602,104,0.45,0.7695546737213405
QEA,pred.model_idx_1,16,6.740228515182182,8.381219184879965,8.638854448760842,55.59834973096913,147,0.7,0.772149600580973
QEA,pred.model_idx_2,14,5.887851945425427,7.314294087606814,7.918649852168612,104.51717361706568,138,0.6,0.7893246187363835
QEA,pred.model_idx_3,15,5.762583381772015,7.290271536438132,7.680960606061913,13.882563668398022,95,0.4,0.84560639070443
QEA,pred.model_idx_4,12,5.7996544331322015,7.2013477141435125,7.869640633075312,69.91691807590979,86,0.35,0.7478213507625272
QEA,pred.model_idx_5,14,5.825453804747748,7.236572313602622,7.835539389936726,33.859919508094556,119,0.55,0.8395463741051977
QEA,pred.model_idx_6,14,5.7911668561374565,7.268165083086652,7.936321103359225,69.9661857616636,93,0.45,0.8395463741051977
QEA,pred.model_idx_7,13,6.149875509410737,7.587125667866587,8.058882864966458,107.65690725120761,92,0.4,0.5614106753812638
