ligand,sample,n_clashing,n_movable,n_backbone_clashing,heme_min,start_min,n_cleared,n_moved,n_uncleared,max_pert,sum_pert,final_min,solved,inter_sidechain_min,n_backbone
5AW,input_model_11,2,2,2,2.5251002219502636,0.8530573525656652,1,0,1,0.0,0.0,0.8530573525656652,False,,2
5AW,input_model_12,2,2,2,2.5828128079907087,0.7410296144454148,0,0,2,0.0,0.0,0.7410296144454148,False,,2
5AW,input_model_13,1,1,1,2.5467482570168714,0.4429088051045743,0,0,1,0.0,0.0,0.4429088051045743,False,,1
5AW,input_model_14,2,2,2,2.399203395488622,0.21301282556513934,1,0,1,0.0,0.0,0.21301282556513934,False,,2
5AW,input_model_15,2,2,1,2.467946247427559,0.35681313075309246,1,1,1,20.0,20.0,0.35681313075309246,False,,1
5AW,input_model_16,1,1,1,2.4914937324679256,0.5506513279929391,0,0,1,0.0,0.0,0.5506513279929391,False,,1
5AW,input_model_17,1,1,1,2.496971050350405,0.7325988287410073,0,0,1,0.0,0.0,0.7325988287410073,False,,1
5AW,input_model_18,1,1,1,2.46309264576474,0.48848263293322575,0,0,1,0.0,0.0,0.48848263293322575,False,,1
5AW,input_model_19,1,1,1,2.510274450904951,0.7349481196043446,0,0,1,0.0,0.0,0.7349481196043446,False,,1
A1A4K,input_model_0,3,3,1,2.948422935104945,0.5041158528326826,2,2,1,70.0,110.0,1.1654141362219261,False,5.693489342627676,1
A1A4K,input_model_1,3,3,1,2.966176774185538,0.5683716521756204,2,2,1,90.0,130.0,1.0493624087249354,False,6.284594177190012,1
A1A4K,input_model_2,3,3,1,2.9299459852144962,0.6189879206787007,2,2,1,70.0,110.0,1.1579687517795247,False,6.012969967944947,1
A1A4K,input_model_3,3,3,1,3.0060239249983507,0.6531395111902452,2,2,1,70.0,90.0,1.1135196759704704,False,5.785878861655157,1
A1A4K,input_model_4,3,3,0,3.0184351634062523,0.5701342307325288,2,2,1,70.0,90.0,0.7355669213892246,False,6.155350762304668,0
A1A4K,input_model_5,3,3,1,2.9354280983523537,0.5944904702052386,2,2,1,70.0,100.0,0.6996682139260404,False,5.934379847490055,1
A1A4K,input_model_6,3,3,1,2.9351791211715366,0.2197953717886399,2,2,1,70.0,110.0,0.2197953717886399,False,5.495411546382326,1
A1A4K,input_model_7,3,3,1,2.937058133274161,0.5551183530107596,2,2,1,90.0,110.0,0.9796115477891695,False,6.356847553012094,1
A1A4K,input_model_8,2,2,1,2.9379323181915487,0.6591959210981717,1,1,1,110.0,110.0,0.7893459424630471,False,,1
A1A4K,input_model_9,3,3,1,2.94370631200321,0.42896106397582434,2,2,1,70.0,90.0,0.42896106397582434,False,5.927628201697799,1
A1A4K,input_model_10,3,3,1,2.995856361090224,0.7142479898719486,2,2,1,80.0,90.0,0.7519745650979806,False,2.1744330175472437,1
A1A4K,input_model_11,3,3,1,2.921279515757333,0.7112164554776109,2,2,1,90.0,100.0,0.7503726337649045,False,1.72418043171119,1
A1A4K,input_model_12,3,3,1,2.990043259353772,0.6239387364493121,2,2,1,70.0,110.0,1.053343161072043,False,5.338475942352416,1
A1A4K,input_model_13,3,3,1,2.962970610807408,0.5382452601317909,2,2,1,80.0,90.0,0.6871447475794001,False,1.7775176796219296,1
A1A4K,input_model_14,3,3,1,2.9260923500769334,0.4475215674357448,2,2,1,90.0,100.0,0.4475215674357448,False,1.601281077602105,1
A1A4K,input_model_15,4,4,1,2.9471310547665674,0.44756935361348726,3,3,1,70.0,100.0,0.6653594953542099,False,5.330438821931837,1
A1A4K,input_model_16,3,3,1,3.002696536698991,0.640336787352667,2,2,1,70.0,120.0,0.8118884644052685,False,5.545128692019799,1
A1A4K,input_model_17,5,5,1,2.9461637234329476,0.463437003124779,4,4,1,70.0,130.0,0.463437003124779,False,0.8908705115698196,1
A1A4K,input_model_18,3,3,0,2.9987225192352978,0.5800516490309051,3,3,0,80.0,120.0,2.2320654557098396,True,7.131763998640695,0
A1A4K,input_model_19,5,5,1,2.9247982536374364,0.6077950220150953,4,4,1,90.0,130.0,0.6077950220150953,False,2.9699867727922897,1
A1A4S,input_model_0,2,2,0,2.7169382154013073,0.9593815737138803,2,2,0,70.0,90.0,2.2063397195643724,True,11.270666964865324,0
A1A4S,input_model_1,3,3,0,2.7235928327937327,0.9625095514068468,3,3,0,90.0,190.0,2.212298058236764,True,7.581813764237198,0
A1A4S,input_model_2,3,3,0,2.6916952753813326,0.9203430560222711,3,3,0,90.0,170.0,2.2128951564138752,True,7.57150448004593,0
A1A4S,input_model_3,3,3,0,2.732649825036741,0.8256987424419444,3,3,0,70.0,160.0,2.2007780393819085,True,6.535756388342015,0
A1A4S,input_model_4,3,3,0,2.739748746434448,0.9242095640240029,3,3,0,80.0,120.0,2.226262192775264,True,6.236659737666211,0
A1A4S,input_model_5,3,3,0,2.723253663751957,0.8236120764388342,3,3,0,90.0,180.0,2.224909437808461,True,7.672420333987299,0
A1A4S,input_model_6,3,3,0,2.688421682334894,1.0225095776121942,3,3,0,90.0,180.0,2.2313573518139007,True,7.6187337069105,0
A1A4S,input_model_7,3,3,0,2.7519645083636948,0.6479698293707424,2,2,1,80.0,100.0,1.1453968093769702,False,11.606946950855049,0
A1A4S,input_model_8,3,3,0,2.7205914159814073,0.4499416594681914,3,3,0,100.0,190.0,2.2586627093482043,True,7.412184588572411,0
A1A4S,input_model_9,3,3,0,2.6827053135915775,0.9865629925899795,3,3,0,80.0,160.0,2.2051488355588953,True,6.534528155141097,0
A1A4S,input_model_10,3,3,0,2.7251519441927705,0.8477850984785823,3,3,0,70.0,150.0,2.235717000675807,True,6.561626421000085,0
A1A4S,input_model_11,3,3,0,2.7851927052105188,0.6312235351035763,3,3,0,60.0,140.0,2.209717289413571,True,6.566454888268113,0
A1A4S,input_model_12,3,3,0,2.7475975609653425,0.5045014563490855,3,3,0,90.0,190.0,2.2029228849827245,True,7.497558025379475,0
