ligand,sample,lddt_pli,bisy_rmsd
A1A4K,A1A4K__r0s0,0.5947674418604652,4.901475137376908
A1A4K,A1A4K__r0s1,0.16686046511627906,8.795493400370889
A1A4K,A1A4K__r0s10,0.1366279069767442,9.739778641290057
A1A4K,A1A4K__r0s11,0.12616279069767442,9.150282144227496
A1A4K,A1A4K__r0s12,0.15406976744186046,8.97475441849406
A1A4K,A1A4K__r0s13,0.1255813953488372,9.848661119148296
A1A4K,A1A4K__r0s14,0.18720930232558142,8.720137301500213
A1A4K,A1A4K__r0s15,0.275,6.829387573092664
A1A4K,A1A4K__r0s16,0.1744186046511628,7.315850362934093
A1A4K,A1A4K__r0s17,0.15406976744186046,10.808974310446931
A1A4K,A1A4K__r0s18,0.11511627906976746,10.1940362588809
A1A4K,A1A4K__r0s19,0.10058139534883721,9.267652638861312
A1A4K,A1A4K__r0s2,0.07325581395348837,11.364274170499522
A1A4K,A1A4K__r0s3,0.062209302325581396,10.791350646550676
A1A4K,A1A4K__r0s4,0.09709302325581395,13.068437440736504
A1A4K,A1A4K__r0s5,0.1691860465116279,9.801313158375605
A1A4K,A1A4K__r0s6,0.20930232558139533,6.40504719701857
A1A4K,A1A4K__r0s7,0.09651162790697675,9.677531597613045
A1A4K,A1A4K__r0s8,0.38313953488372093,7.699627901699558
A1A4K,A1A4K__r0s9,0.17674418604651163,9.083707070643593
A1A4K,A1A4K__r1s0,0.5953488372093023,4.928468772164115
A1A4K,A1A4K__r1s1,0.1058139534883721,12.098088912143279
A1A4K,A1A4K__r1s2,0.06627906976744186,15.501639255505646
A1A4K,A1A4K__r1s3,0.05988372093023256,13.380565618037064
A1A4K,A1A4K__r1s4,0.2930232558139535,8.410757028710043
A1A4S,A1A4S__r0s0,0.8115942028985507,1.9487297334119784
A1A4S,A1A4S__r0s1,0.1997929606625259,9.862657302040684
A1A4S,A1A4S__r0s10,0.12163561076604555,12.562485783423293
A1A4S,A1A4S__r0s11,0.3969979296066253,5.430620845930863
A1A4S,A1A4S__r0s12,0.14026915113871635,10.900824986977765
A1A4S,A1A4S__r0s13,0.10662525879917184,11.584865964796132
A1A4S,A1A4S__r0s14,0.07712215320910973,13.68324945105906
A1A4S,A1A4S__r0s15,0.2960662525879917,7.1272101059397235
A1A4S,A1A4S__r0s16,0.24637681159420288,9.385629428344021
A1A4S,A1A4S__r0s17,0.09523809523809525,14.733257034818347
A1A4S,A1A4S__r0s18,0.09006211180124224,14.50376869992479
A1A4S,A1A4S__r0s19,0.07349896480331262,13.4690044381475
A1A4S,A1A4S__r0s2,0.33333333333333337,6.107208142207541
A1A4S,A1A4S__r0s3,0.13819875776397517,8.217380963340933
A1A4S,A1A4S__r0s4,0.06677018633540373,11.680727017772291
A1A4S,A1A4S__r0s5,0.2629399585921325,7.7182291829111485
A1A4S,A1A4S__r0s6,0.2468944099378882,7.389606322931107
A1A4S,A1A4S__r0s7,0.22929606625258797,9.483691008298715
A1A4S,A1A4S__r0s8,0.07194616977225674,14.465259167372894
A1A4S,A1A4S__r0s9,0.13716356107660455,11.127289443204761
A1A4S,A1A4S__r1s0,0.822463768115942,1.7052607830634468
A1A4S,A1A4S__r1s1,0.2261904761904762,6.71873662506812
A1A4S,A1A4S__r1s2,0.2562111801242236,7.322990275339346
A1A4S,A1A4S__r1s3,0.38716356107660455,5.630910096364669
A1A4S,A1A4S__r1s4,0.18581780538302278,10.381159301120167
A1A4T,A1A4T__r0s0,0.5168269230769231,4.97442294089991
A1A4T,A1A4T__r0s1,0.11201923076923077,14.390666584731955
A1A4T,A1A4T__r0s10,0.06971153846153846,12.756543835757961
A1A4T,A1A4T__r0s11,0.07548076923076924,11.573911901886937
A1A4T,A1A4T__r0s12,0.08221153846153846,8.526079088841346
A1A4T,A1A4T__r0s13,0.13365384615384615,12.540394761983649
A1A4T,A1A4T__r0s14,0.056249999999999994,12.913821019242544
A1A4T,A1A4T__r0s15,0.0375,14.357529732228434
A1A4T,A1A4T__r0s16,0.08028846153846153,13.748609023045004
A1A4T,A1A4T__r0s17,0.28221153846153846,10.635637665233844
A1A4T,A1A4T__r0s18,0.07596153846153847,14.178082251218438
A1A4T,A1A4T__r0s19,0.08221153846153846,15.212199270290677
A1A4T,A1A4T__r0s2,0.10192307692307692,9.928957000751447
A1A4T,A1A4T__r0s3,0.2360576923076923,11.03088335272668
A1A4T,A1A4T__r0s4,0.27163461538461536,7.708082095282039
