name,tag,rank,xeng
9BV7_A1AST,run5_s42,3,1.316561427058442
9BV7_A1AST,run5_s42,4,1.3397795373924488
9BV8_A1ASS,run5_s42,0,0.6187632731463949
9BV8_A1ASS,run5_s42,1,0.6328485769162269
9BV8_A1ASS,run5_s42,2,0.714216037127617
9BV8_A1ASS,run5_s42,3,0.6484615282407903
9BV8_A1ASS,run5_s42,4,0.6692221318721084
9BV9_A1ASR,run5_s42,0,1.241927426523331
9BV9_A1ASR,run5_s42,1,1.2274496857821042
9BV9_A1ASR,run5_s42,2,1.0617561236551933
9BV9_A1ASR,run5_s42,3,1.7093505909652418
9BV9_A1ASR,run5_s42,4,1.666666661350048
9BVA_A1ASQ,run5_s42,0,1.201493960803249
9BVA_A1ASQ,run5_s42,1,1.1662421719726677
9BVA_A1ASQ,run5_s42,2,1.3194873228665982
9BVA_A1ASQ,run5_s42,3,1.335084729650544
9BVA_A1ASQ,run5_s42,4,1.0763176057542638
9BVB_A1ASP,run5_s42,0,1.203366351761675
9BVB_A1ASP,run5_s42,1,1.0500307810065945
9BVB_A1ASP,run5_s42,2,1.0549617648971121
9BVB_A1ASP,run5_s42,3,1.4166942928942425
9BVB_A1ASP,run5_s42,4,0.9034302405814311
9BVC_A1ASO,run5_s42,0,1.0547572776274647
9BVC_A1ASO,run5_s42,1,1.1582572992823903
9BVC_A1ASO,run5_s42,2,1.2626063823777876
9BVC_A1ASO,run5_s42,3,1.2902256407133081
9BVC_A1ASO,run5_s42,4,1.0771856192310152
9COR_A1A07,run5_s42,0,1.409541518187549
9COR_A1A07,run5_s42,1,1.4570638567238363
9COR_A1A07,run5_s42,2,1.029428904117767
9COR_A1A07,run5_s42,3,1.397200530039779
9COR_A1A07,run5_s42,4,1.2315558886775497
9COS_A1A06,run5_s42,0,0.8411630272208113
9COS_A1A06,run5_s42,1,0.856472238434493
9COS_A1A06,run5_s42,2,0.9437375102508909
9COS_A1A06,run5_s42,3,0.8262918790369719
